"Muscadet de Dieppe","Diploid. Self sterile."
Nanny,
Niagara,"Diploid. Self sterile."
Nico,"Self sterile. Group A Day 0"
Nittany,"Diploid. Self sterile."
"No Blow","Self sterile."
Norda,"Diploid. Self sterile."
"Norfolk Royal","Self sterile. Group D. Day 14."
Norhey,"Diploid. Self sterile."
Norland,"Diploid. Self sterile."
"Northern Lights","Diploid. Self sterile."
"Nova Easygro","Diploid. Self sterile."
Nubeena,"Self sterile."
Nugget,
Odin,"Self sterile. Group D Day 15"
Ogden,"Diploid. Self sterile."
"Ohio Nonpareil","Diploid. Self sterile."
"Old Pearmain","Diploid. Self sterile."
Orin,"Diploid. Self sterile."
Orleans,"Diploid. Self sterile."
Ortley,"Diploid. Self sterile."
Oswego,"Self sterile."
Otava,"Diploid. Self sterile."
"Ottawa 274","Self sterile."
"Ottawa 292","Self sterile."
Oxbo,"Self sterile."
"Ozark Gold",
Paragon,"Diploid. Self sterile."
"Peau de Vache","Self sterile."
Pederstrup,"Self sterile. Group C Day 10"
Petrel,"Self sterile."
Pewaukee,"Self sterile. Group C Day 9"
"Pfirsichroter Sommerapfel","Self sterile. Group B Day 4"
Pia,"Diploid. Self sterile."
Piflora,"Diploid. Self sterile."
Pigeonnet,"Self sterile. Group D Day 12"
"Pink Lady","Self sterile."
"Pink Pearl","Diploid. Self sterile."
Pinova,"Diploid. Self sterile."
Pionier,"Diploid. Self sterile."
Pixie,"Diploid. Self sterile."
"Pomme Grise","Diploid. Self sterile."
"Pomme Raisin","Self sterile. Group C. Day 10. Not compatible with Canada Reinette or Golden Pearmain."
Porter,"Diploid. Self sterile."
"Pumpkin Sweet","Diploid. Self sterile."
Priam,"Diploid. Self sterile."
Primate,"Diploid. Self sterile."
"Prime Red","Diploid. Self sterile."
Primus,"Self sterile. Group D Day 12"
Princesa,"Self sterile."
Princesse,"Self sterile. Group F. Day 20."
Priscilla,
"Pumpkin Sweet","Diploid. Self sterile."
"Purpurroter Cousinot","Diploid. Self fertile but produces best in proximity to a source of compatible pollen."
"Quebec Belle","Diploid. Self sterile."
Quindell,"Diploid. Self sterile."
Quinte,"Diploid. Self sterile."
"Rambour Franc","Diploid. Self sterile."
Ranger,"Diploid. Self sterile."
Rebella,"Diploid. Self sterile."
"Red Baron","Diploid. Self sterile."
"Red Canada","Diploid. Self sterile."
"Red Canel","Self sterile."
"Red Cinnamon","Self sterile."
"Red Paducah","Diploid. Self sterile."
"Red Ralls","Self sterile."
"Red Sauce","Diploid. Self sterile."
"Red Spitzenburg",
"Red Spy","Self sterile."
Redfree,
Redgold,"Self sterile. Group ???? Day 10"
Redhook,"Self sterile."
Regent,
Regine,"Self sterile. Group C. Day 9. Tolerant of late fros"
Reglindis,"Self sterile. Group C. Day 10. The blossoms can tolerate late frosts."
"Reine des Reinettes",
"Reinette Grise","Self sterile."
"Reinette Russet","Diploid. Self sterile."
"Reinette Simirenko","Diploid. Self sterile."
"Reinette Thouin","Self sterile. Group D Day 15"
"Reinette Van Ekenstein","Self sterile. Group C Day 9"
Remura,"Self sterile."
Renown,"Diploid Self sterile."
Resi,"Diploid. Self sterile."
"Rhode Island Greening","Though not actually a triploid, the Greening produces poor quality pollen."
Richelieu,"Diploid. Self sterile."
"Richland Crab","Self sterile."
Rokewood,"Self sterile. Group B Day 6"
"Romus 3","Self sterile."
"Rosemary Russet","Diploid. Self sterile."
"Rosu de Cluj","Diploid. Self sterile."
"Roter Eiserapfel",
Rougemont,"Self sterile. Group ???? Day 1"
Rouville,"Self sterile."
"Roxbury Russet","Partially self-fertile but produces best crops in the proximity of a suitable source of pollen."
"Blahova Ruzena","Diploid. Self sterile."
"San Jacinto","Self sterile."
"San Juan","Self sterile."
Sayaka,"Self sterile."
Sensacion,"Self sterile."
Senshu,"Self sterile."
Sharon,"Diploid. Self sterile."
Shawnee,"Self sterile."
Shizuka,"Triploid. Produces no valid pollen for itself or other apple trees."
"Signe Tillisch","Diploid. Self sterile."
Sinta,"Diploid. Self sterile."
Smokehouse,"Diploid. Self sterile"
"Souvenir De Fernand Cognet","Self sterile."
Spartan,"Diploid. Self fertile but produces the best crops in the proximity of a suitable source of pollen."
Spencer,"Diploid. Self sterile."
"Spokane Beauty","Diploid. Self sterile."
Stayman,"Triploid. Produces no viable pollen for other apple trees."
"Stembridge Cluster","Self sterile. Group ???? Day 2     crawford lists i   F20, another source states medium late."
Summerred,"Diploid. Self sterile."
Sundance,
Sunrise,"Diploid. Self sterile."
Sunrise,"Diploid. Self sterile."
Sunset,"Self fertile. Group C. Day 9. The blossoms are"
Suntan,"Triploid. Group F Day 10. The blossoms tolerate late frosts."
Supermac,
"Sweet Caroline","Self sterile. Group D Day 14"
"Sweet Delicious","Diploid. Self sterile."
"Zoete Ermgaard","Self sterile. Group E Day 20"
Sylvia,"Diploid. Self sterile."
Tasty,"Self sterile."
Tioga,"Diploid. Self sterile."
Akane,
Toko,"Self sterile."
"Tom Putt","Self sterile. Group C. Day 10."
Topaz,"Diploid. Self sterile."
Trent,"Self sterile."
Tsugaru,
Tsugaru,"Diploid. Self sterile."
"Twistbody Jersey","Diploid. Self sterile."
"Michaelmas Red",
Vanda,"Diploid. Self sterile."
Viking,"Diploid. Self sterile."
Voinea,"Diploid. Self sterile."
Wealthy,"Diploid. Self fertile but produces best in the presence of a compatible source of pollen."
"William Crump","Diploid. Self sterile."
"Worcester Pearmain","Diploid. Partially self fertile."
Wright,"Diploid. Self sterile."
"Yellow Bellflower",
Amelia,"Diploid. Self sterile."
"Amère de Bellevue","Diploid. Self sterile."
Baxter,"Self sterile."
"Binet Blanc","Self sterile. Group XX. Day XX. LATE MAY"
"Binet Rouge","Diploid. Self sterile."
"Black Oxford","Diploid. Self sterile."
"Blanc Mollet","Diploid. Self sterile."
bramley,"Diploid. Self sterile."
Brunnsapple,"Self sterile."
Cartigny,"Self sterile. Group XX. Day 20."
"Chisel Jersey","Diploid. Self sterile."
"C'Huero Biz Bras","Triploid. Produces only sterile pollen."
"Coat Jersey","Diploid. Self sterile."
"Court Pendu","Self sterile."
"Crimson King",Triploid.
"Belle de Crollon","Diploid. Self sterile."
Damelot,"Diploid. Self sterile."
"Doux Normandie","Diploid. Self sterile."
Dufflin,"Diploid. Self sterile."
"Ellis Bitter","Diploid. Self sterile."
Feuillard,"Self sterile. after May 10"
"Fenouillet Gris","Diploid. Self sterile."
Fillbarrel,"Diploid. Self sterile."
"Fréquin","Self sterile."
"Fréquin Audievre","Self sterile."
"Fréquin Tardive de la Sarthe","Diploid. Self sterile."
"Golden Harvey","Diploid. Self sterile."
"Grise Dieppoise","Diploid. Self sterile."
"Gros Fréquin","Dipoid. Self sterile."
Jouveaux,"Diploid. Self sterile."
Judeline,"Diploid. Self sterile."
King,"Self sterile."
Langworthy,"Self sterile. Group XX. Day D."
"Maiden Blush","Self sterile."
Major,"Self sterile. Group F. Day 20."
"Marin Onfroy","Diploid. Self sterile. Though the pollen is fertile, it is of poor quality and should not be relied on to pollinate other apple trees"
"Muscadet de Dieppe","Self sterile. Group B. Day 5."
"Néhou","Diploid. Self sterile."
Northwood,"Self sterile."
"Peau de vache","Diploid. Self sterile."
Pigeonnet,"Self sterile."
Redstreak,"Self sterile."
"Reine des Pommes",
"Royal Jersey","Self sterile."
"Stembridge Cluster","Diploid. Self sterile."
"Teign Harvey","Diploid. Self sterile."
"Tom Putt","Diploid. Self sterile."
Vilberie,"Self fertile. Group H. Day 30."
"White Jersey","Diploid. Self sterile."
"Bob White",
"Crimson Gold",
"Gibbs Golden Gage",
Joan,
Linda,
Niedzwetzkyana,"Diploid. Self sterile."
Renown,
"Oratia Beauty","Triploid. No usable pollen."
Alexander,"Diploid. Self sterile."
"Northern Spy","Diploid. Partially self fertile but produces best in the presence of a compatible pollination partner."
"Amur Naliv",
Williams,"Diploid. Self sterile."
"Dermen Black Stayman",
"Spur Winter Banana",
"March #1","Triploid. Self sterile."
"Black Ben Davis","Diploid. Self sterile."
"Hall Keeper","Diploid. Self sterile."
"Yellow Bellflower","Diploid. Self sterile."
"Redspur Delicious",
"Jones Favorite","Diploid. Self sterile."
Lovell,
Mucina,
Stafford,"Diploid. Self sterile."
Foxwhelp,"Diploid. Self sterile."
Paradiso,
Paradiso,
Luke,
Luke,
Nugget,"Diploid. Self sterile."
Trebu,"Diploid. Self sterile."
Sipolins,
Uljanisceva,
"Reveles Bumbierabols",
"Paides Ziemas Abols",
"Krievu Rosmarins",
"Suislepas Rozabols",
Primrouge,
"Rossoshanskoje Polosatoje",
"Uralskoje Nalivnoje",
"Gloria Mundi","Diploid. Self sterile."
Mother,"Triploid. Does not produce viable pollen."
"Kandil Kitaika","Diploid. Self sterile."
Harcourt,"Diploid. Self sterile."
Glenorchie,
Vienna,"Diploid. Self sterile."
"Lubec #1",
"Schöner aus Miltenberg","Diploid. Self sterile."
"Litevsky Jadernac",
"Narjadnoye Crysmskoye",
Novinka,
"Mleevskaya Crasavitsa",
Eurika,
Mantuanskoye,
Obilnoye,
Livadiyskoye,
Mislimka,"Diploid. Self sterile."
"Reinette Russet",
"Loop Giant Spy",
Arkansas,
"Yellow Transparent","Partially self-fertile, but produces the best crops in the presence of a source of viable pollen."
"Korichnoe Polosatoje",
"Sir Prize",
Dayton,
Pristine,
